City_Code,Accomodation_Type,Reco_Insurance_Type,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,Age
C13,Owned,Individual,No,X1,5.0,3.0,2,15522.0,0,71
C2,Owned,Individual,No,X1,2.0,3.0,3,10262.0,0,28
C7,Rented,Individual,No,X1,5.0,3.0,9,6760.0,0,20
C1,Owned,Individual,No,X2,5.0,3.0,19,12680.0,0,55
C20,Owned,Joint,Yes,X4,5.0,3.0,22,18183.0,0,58
C8,Owned,Individual,No,X2,5.0,2.0,16,9366.0,1,28
C5,Owned,Individual,No,X1,3.0,3.0,10,18928.0,1,58
C24,Owned,Individual,No,X4,7.0,1.0,1,12188.0,0,61
C9,Rented,Individual,No,X1,1.0,2.0,6,16380.0,0,55
C3,Rented,Individual,No,X1,15.0,3.0,21,12540.0,1,55
C2,Owned,Individual,No,X2,1.0,4.0,22,7296.0,0,35
C6,Owned,Individual,No,X1,5.0,3.0,20,13288.0,0,40
C19,Owned,Individual,No,X1,12.0,2.0,12,14160.0,0,53
C2,Rented,Individual,No,X1,4.0,3.0,21,6200.0,0,28
C1,Owned,Joint,Yes,X5,1.0,3.0,8,17928.0,0,52
C10,Owned,Individual,No,X4,2.0,1.0,18,14740.0,0,46
C14,Rented,Individual,No,X1,9.0,4.0,21,17864.0,1,75
C17,Owned,Individual,No,X1,8.0,1.0,1,10260.0,0,44
C10,Owned,Individual,No,X1,5.0,3.0,17,8778.0,1,28
C1,Owned,Joint,Yes,X2,4.0,3.0,16,29580.0,0,70
C18,Rented,Joint,Yes,X1,7.0,3.0,17,24012.0,1,54
C4,Owned,Joint,Yes,X1,5.0,3.0,9,21240.0,0,42
C2,Owned,Individual,No,X3,5.0,3.0,14,5728.0,0,29
C1,Owned,Joint,Yes,X1,7.0,2.0,17,28044.8,0,69
C2,Rented,Joint,Yes,X1,5.0,3.0,22,32832.0,0,75
C16,Rented,Individual,No,X3,5.0,3.0,1,9024.0,0,20
C6,Rented,Individual,No,X2,1.0,3.0,1,8944.0,0,23
C2,Owned,Individual,No,X3,14.0,4.0,17,18592.0,0,71
C28,Owned,Individual,No,X1,5.0,3.0,2,11484.0,0,53
C3,Rented,Individual,No,X1,5.0,3.0,11,13664.0,0,23
C2,Owned,Individual,No,X4,7.0,2.0,20,11472.0,0,44
C7,Owned,Individual,No,X3,5.0,3.0,20,22306.0,1,75
C5,Rented,Individual,No,X1,2.0,1.0,12,11160.0,0,25
C19,Rented,Individual,No,X2,5.0,3.0,2,8708.0,0,21
C2,Rented,Individual,No,X1,1.0,1.0,18,7920.0,0,28
C7,Owned,Joint,Yes,X2,5.0,3.0,17,24336.0,0,70
C3,Rented,Individual,No,X3,5.0,3.0,15,4760.0,1,29
C3,Rented,Individual,No,X1,15.0,3.0,22,15072.0,1,63
C2,Rented,Individual,No,X1,5.0,3.0,17,8436.0,0,20
C3,Rented,Individual,No,X1,3.0,3.0,16,11718.0,0,25
C2,Owned,Individual,No,X2,15.0,3.0,11,22860.0,0,75
C9,Rented,Individual,No,X1,5.0,3.0,2,8638.0,0,22
C12,Rented,Individual,No,X3,2.0,2.0,15,5384.0,1,22
C1,Owned,Individual,No,X1,1.0,1.0,17,12636.0,0,34
C16,Owned,Individual,No,X2,1.0,4.0,22,21152.0,1,63
C8,Rented,Individual,No,X1,4.0,1.0,17,8124.0,0,30
C17,Owned,Individual,No,X1,5.0,3.0,16,15360.0,0,43
C3,Rented,Individual,No,X2,13.0,1.0,16,21664.0,0,67
C1,Owned,Joint,Yes,X1,10.0,3.0,16,25446.4,0,59
C2,Rented,Individual,No,X1,7.0,3.0,17,9058.0,0,29
C2,Owned,Joint,Yes,X1,5.0,3.0,18,32460.8,0,69
C8,Owned,Individual,No,X1,15.0,4.0,17,10422.0,1,37
C23,Rented,Individual,No,X1,5.0,3.0,9,20430.0,0,67
C1,Owned,Joint,Yes,X3,5.0,3.0,19,32150.4,0,70
C2,Rented,Individual,No,X2,5.0,2.0,11,11646.0,0,25
C14,Owned,Individual,No,X3,6.0,3.0,9,21024.0,0,75
C3,Owned,Individual,No,X1,5.0,3.0,20,19544.0,1,59
C2,Owned,Individual,No,X1,10.0,3.0,3,10368.0,0,36
C7,Owned,Joint,No,X1,4.0,3.0,14,23283.0,0,55
C15,Rented,Individual,No,X1,5.0,1.0,19,17040.0,0,40
C1,Owned,Individual,No,X1,9.0,1.0,19,11610.0,1,44
C2,Rented,Individual,No,X2,5.0,3.0,3,10560.0,0,45
C9,Rented,Individual,No,X1,5.0,3.0,2,5800.0,0,28
C1,Owned,Individual,No,X1,6.0,3.0,16,11322.0,0,30
C19,Owned,Joint,Yes,X4,2.0,1.0,2,19219.2,0,55
C6,Rented,Individual,No,X2,5.0,3.0,9,8722.0,0,29
C4,Rented,Individual,No,X2,5.0,3.0,19,12780.0,0,37
C2,Owned,Individual,No,X1,5.0,3.0,18,6700.0,0,24
C7,Owned,Joint,No,X1,5.0,3.0,22,25766.4,0,59
C1,Owned,Individual,No,X1,5.0,3.0,19,14688.0,0,40
C1,Owned,Individual,No,X1,8.0,3.0,21,13800.0,0,60
C9,Owned,Individual,No,X5,4.0,3.0,10,17584.0,0,55
C12,Owned,Individual,No,X1,5.0,3.0,18,5496.0,0,21
C2,Owned,Joint,Yes,X4,5.0,3.0,22,30150.0,1,69
C2,Owned,Joint,Yes,X1,3.0,1.0,22,24288.0,0,46
C3,Rented,Individual,No,X1,5.0,3.0,12,17940.0,1,57
C3,Owned,Individual,No,X3,2.0,2.0,20,6340.0,0,28
C27,Owned,Individual,No,X1,5.0,3.0,5,9240.0,1,26
C6,Rented,Individual,No,X2,5.0,3.0,12,3708.0,1,22
C20,Owned,Individual,No,X1,1.0,4.0,21,13684.0,0,58
C10,Owned,Joint,Yes,X2,2.0,1.0,16,32877.6,0,75
C1,Owned,Individual,No,X4,3.0,3.0,18,18732.0,0,69
C6,Owned,Joint,No,X3,1.0,3.0,21,34761.6,0,70
C4,Rented,Joint,Yes,X6,2.0,4.0,22,7744.0,0,24
C11,Owned,Individual,No,X2,1.0,2.0,13,8912.0,1,46
C16,Owned,Individual,No,X2,8.0,3.0,16,8344.0,0,31
C7,Owned,Individual,No,X1,2.0,1.0,16,22824.0,1,75
C3,Rented,Individual,No,X1,5.0,3.0,13,11968.0,1,54
C3,Owned,Individual,No,X4,15.0,4.0,12,13354.0,0,61
C1,Owned,Individual,No,X1,15.0,1.0,19,12000.0,1,38
C11,Owned,Individual,No,X3,3.0,3.0,21,9216.0,0,49
C21,Owned,Individual,No,X1,9.0,1.0,17,11574.0,1,51
C3,Owned,Individual,No,X4,4.0,3.0,15,12384.0,0,44
C4,Rented,Individual,No,X1,5.0,3.0,8,9282.0,0,22
C1,Owned,Individual,No,X1,12.0,2.0,16,16770.0,0,68
C2,Rented,Individual,No,X1,5.0,2.0,13,16874.0,0,56
C22,Owned,Individual,No,X2,5.0,3.0,14,11682.0,1,40
C8,Rented,Individual,No,X3,5.0,3.0,20,4710.0,0,19
C29,Rented,Individual,No,X1,5.0,3.0,22,8358.0,0,23
C1,Owned,Individual,No,X4,4.0,4.0,16,19712.0,0,71
C2,Rented,Individual,No,X4,5.0,3.0,3,9562.0,0,32
C9,Owned,Individual,No,X1,5.0,3.0,15,9984.0,1,29
C21,Owned,Joint,Yes,X3,1.0,1.0,2,22035.0,0,61
C1,Rented,Individual,No,X3,5.0,3.0,12,5900.0,0,22
C14,Rented,Individual,No,X6,5.0,3.0,20,7020.0,0,22
C1,Owned,Individual,No,X4,15.0,1.0,5,19320.0,0,70
C1,Rented,Individual,No,X1,5.0,3.0,19,7896.0,0,25
C11,Owned,Individual,No,X2,5.0,3.0,20,6550.0,1,22
C7,Owned,Individual,No,X1,3.0,3.0,22,19618.0,1,70
C6,Rented,Individual,No,X1,3.0,1.0,21,5320.0,1,26
C3,Owned,Individual,No,X4,15.0,4.0,4,12870.0,0,50
C2,Owned,Individual,No,X6,2.0,3.0,14,19590.0,1,75
C20,Owned,Individual,No,X2,1.0,1.0,21,17580.0,0,71
C7,Rented,Individual,No,X1,5.0,3.0,21,6730.0,0,21
C29,Rented,Individual,No,X1,2.0,1.0,19,18464.0,1,65
C1,Owned,Individual,No,X1,1.0,1.0,13,10800.0,0,31
C3,Rented,Individual,No,X1,5.0,3.0,1,5024.0,0,23
C1,Owned,Individual,No,X3,5.0,3.0,20,9072.0,0,31
C1,Owned,Individual,No,X1,13.0,3.0,18,9984.0,0,45
C23,Rented,Individual,No,X1,5.0,3.0,21,10144.0,0,22
C17,Owned,Individual,No,X3,9.0,4.0,16,13416.0,0,46
C14,Rented,Individual,No,X1,5.0,3.0,18,4548.0,0,21
C6,Owned,Individual,No,X2,8.0,1.0,21,16890.0,0,59
C5,Owned,Individual,No,X2,5.0,3.0,1,12400.0,0,31
C2,Owned,Individual,No,X4,5.0,3.0,14,16094.0,0,56
C17,Owned,Individual,No,X6,4.0,3.0,2,22382.0,0,75
C3,Rented,Individual,No,X1,5.0,3.0,17,3966.0,0,24
C1,Owned,Joint,Yes,X2,7.0,4.0,8,24336.0,0,61
C1,Owned,Individual,No,X3,2.0,2.0,20,13140.0,0,57
C1,Owned,Individual,No,X2,5.0,3.0,16,15576.0,0,69
C20,Rented,Individual,No,X6,5.0,3.0,1,5370.0,0,22
C28,Owned,Joint,Yes,X1,5.0,3.0,1,23379.2,0,52
C1,Owned,Joint,No,X3,5.0,3.0,19,34704.0,1,64
C4,Rented,Individual,No,X2,5.0,3.0,15,4792.0,1,21
C3,Rented,Individual,No,X2,5.0,3.0,9,12960.0,0,50
C1,Rented,Individual,No,X1,5.0,3.0,18,11296.0,0,22
